ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"129.226.208.98","elite","AS132203","SG","Tencent Cloud Computing (Beijing) Co","379","Aceville Pte.ltd","443","socks4","202","82","2023-09-06T11:01:50.253Z","95","3506","3704"
"116.90.229.186","elite","AS24550","NP","Websurfer Nepal Communication System Pvt. Ltd","149","Websurfer Nepal Communication System Pvt. Ltd","47694","socks4","4993","1","2023-09-06T11:01:50.339Z","96","3538","3669"
"91.121.79.58","elite","AS16276","FR","OVH SAS","5","OVH ISP","2499","socks5","4707","1","2023-09-06T11:01:50.447Z","100","3772","3776"
"202.159.60.65","elite","AS9340","ID","PT IndoInternet","183","N/A","443","socks4","4597","1","2023-09-06T11:01:47.184Z","100","3741","3756"
"177.38.5.137","elite","AS52964","BR","FÁBIO MENDES DIAS LTDA ME","202","FÁBIO MENDES DIAS LTDA ME","4153","socks4","1611","1","2023-09-06T11:01:47.183Z","95","3539","3711"
"103.83.178.205","elite","AS136065","ID","PT SOLUSI TRIMEGAH PERSADA","194","PT SOLUSI TRIMEGAH PERSADA","2016","socks4","4797","1","2023-09-06T11:01:47.182Z","98","3648","3706"
"103.76.12.253","elite","AS131111","ID","MORATELINDO","188","Moratelindo","5678","socks4","5103","79","2023-09-06T11:01:47.181Z","30","1108","3753"
"84.244.69.29","elite","AS25248","CZ","BlueTone-CRa","27","DATRON, a.s.","443","socks4","1505","1","2023-09-06T11:01:44.144Z","100","3785","3791"
"113.108.247.146","elite","AS4134","CN","Chinanet","206","Chinanet GD","20086","socks5","5105","2","2023-09-06T11:01:44.135Z","80","2934","3687"
"177.129.63.142","elite","AS262494","BR","Virtex Ltda","195","Virtex Telecom","4153","socks4","4884","1","2023-09-06T11:01:44.048Z","99","3690","3718"
"45.196.148.117","elite","AS7018","US","AT&T Services, Inc.","88","AQUA Networks Limited","5432","socks4","4907","1","2023-09-06T11:01:44.137Z","98","3607","3686"
"180.183.225.91","elite","AS45629","TH","Triple T Broadband Public Company Limited","187","Triple T Broadband Public Company Limited","44550","socks4","420","3","2023-09-06T11:01:44.240Z","99","3685","3712"
"159.203.105.85","elite","AS14061","US","DigitalOcean, LLC","105","Digital Ocean","7497","socks5","4007","1","2023-09-06T11:01:44.143Z","95","3510","3701"
"187.94.211.15","elite","AS53078","BR","Acesse Comunicação Ltda","203","Acesse Comunicação Ltda","2580","socks5","4408","1","2023-09-06T11:01:44.133Z","90","3359","3745"
"103.47.93.250","elite","AS134058","IN","Broban Internet Services Pvt.ltd","153","Broban  PVT Ltd.","1080","socks4","4510","1","2023-09-06T11:01:44.141Z","99","3796","3825"
"38.140.231.10","elite","AS174","US","Cogent Communications","80","Cogent communications - IPENG","8841","socks4","5092","1","2023-09-06T11:01:38.033Z","99","3727","3757"
"114.5.196.209","elite","AS4761","ID","PT. INDOSAT Tbk","218","PT. INDOSAT Tbk","1081","socks4","4997","1","2023-09-06T11:01:37.074Z","89","3302","3705"
"43.153.73.157","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","151","Tencent Cloud Computing","443","socks5","4699","1","2023-09-06T11:01:37.844Z","71","2679","3786"
"112.105.12.160","elite","AS18049","TW","TINP","289","Digital United Inc.","1111","socks5","5097","1","2023-09-06T11:01:37.944Z","85","3188","3743"
"185.220.226.235","elite","AS205585","TR","Noyan Abr Arvan Co. ( Private Joint Stock)","105","Noyan Abr Arvan Co. ( Private Joint Stock)","808","socks4","5192","1","2023-09-06T11:01:37.936Z","87","3197","3668"
"178.62.226.96","elite","AS14061","NL","DigitalOcean, LLC","81","Digital Ocean","26546","socks4","5002","1","2023-09-06T11:01:37.089Z","100","3729","3729"
"124.220.170.33","elite","AS45090","CN","China Internet Network Information Center","185","Tencent cloud computing (Beijing) Co., Ltd.","2080","socks4","5089","1","2023-09-06T11:01:37.934Z","81","3042","3762"
"85.116.120.106","elite","AS12389","RU","JSC \"Uralsvyazinform\" Chelyabinsk","99","N/A","3629","socks4","4903","1","2023-09-06T11:01:37.939Z","77","2891","3732"
"103.79.96.205","elite","AS64308","ID","PT IndoDev Niaga Internet","168","PT IndoDev Niaga Internet","4153","socks4","4794","1","2023-09-06T11:01:37.937Z","100","3708","3716"
"77.89.196.202","elite","AS25454","MD","Orange Moldova Network","48","N/A","4153","socks4","4589","1","2023-09-06T11:01:37.075Z","100","3734","3744"
"148.251.179.103","elite","AS24940","DE","Hetzner Online GmbH","22","Hetzner","30241","socks4","5015","1","2023-09-06T11:01:36.990Z","100","3800","3800"
"111.221.54.40","elite","AS38278","MY","Orient Telecoms Sdn. Bhd","187","N/A","5678","socks4","5095","1","2023-09-06T11:01:36.990Z","79","2959","3736"
"104.17.62.87","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","4515","1","2023-09-06T11:01:31.541Z","100","3650","3650"
"182.160.5.234","elite","AS136907","HK","Huawei International Pte. LTD","296","N/A","1080","socks5","2917","80","2023-09-06T11:01:31.455Z","92","3456","3772"
"103.87.170.101","elite","AS55507","IN","Tejays Industries Pvt Ltd","198","Tejays Industries Pvt Ltd","5678","socks4","5109","1","2023-09-06T11:01:31.539Z","56","2112","3759"
"119.2.54.25","elite","AS55666","ID","GMEDIA","193","N/A","5678","socks4","4986","1","2023-09-06T11:01:31.542Z","100","3723","3732"
"202.159.121.145","elite","AS9340","ID","PT IndoInternet","211","N/A","443","socks4","5007","1","2023-09-06T11:01:26.880Z","100","3764","3771"
"201.159.104.114","elite","AS28539","MX","Jose Miguel Macias Contreras","195","Jose Miguel Macias Contreras","31337","socks4","717","1","2023-09-06T11:01:26.879Z","97","3601","3703"
"103.47.93.216","elite","AS134058","IN","Broban Internet Services Pvt.ltd","192","Broban  PVT Ltd.","1080","socks4","4699","1","2023-09-06T11:01:26.876Z","99","3652","3680"
"43.130.199.254","elite","AS132203","CA","Shenzhen Tencent Computer Systems Company Limited","96","Tencent Cloud Computing","443","socks4","404","1","2023-09-06T11:01:26.878Z","32","1180","3736"
"31.220.15.95","elite","AS63473","SE","HostHatch","40","HostHatch LLC","1080","socks5","811","1","2023-09-06T11:01:26.891Z","44","1638","3755"
"104.23.126.8","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","1724","1","2023-09-06T11:01:25.138Z","100","3737","3737"
"45.12.30.231","elite","AS209242","GB","Cloudflare London, LLC","11","LIR Services","80","socks5","4588","1","2023-09-06T11:01:25.134Z","100","3735","3736"
"45.7.177.181","elite","AS266626","BR","Litoral Telecom","284","Litoral Telecom","39867","socks4","1114","1","2023-09-06T11:01:25.135Z","98","3673","3753"
"195.154.61.36","elite","AS12876","FR","Online SAS","1","N/A","57438","socks5","5190","1","2023-09-06T11:01:25.236Z","56","2075","3732"
"117.26.40.109","elite","AS4134","CN","Chinanet","289","Chinanet FJ","2829","socks4","4612","1","2023-09-06T11:01:25.141Z","69","2545","3703"
"198.98.61.133","elite","AS53667","US","FranTech Solutions","79","FranTech Solutions","30900","socks4","5099","1","2023-09-06T11:01:25.139Z","100","3776","3782"
"187.191.53.155","elite","AS22884","MX","Total Play Telecomunicaciones SA De CV","135","Total Play Telecomunicaciones SA De CV","7497","socks5","4205","1","2023-09-06T11:01:25.046Z","99","3721","3750"
"158.69.197.113","elite","AS16276","CA","OVH SAS","83","OVH Hosting, Inc","7497","socks5","4908","1","2023-09-06T11:01:18.843Z","99","3688","3710"
"197.234.13.78","elite","AS36902","SC","Intelvision","168","Intelvision Ltd","4145","socks4","3097","1","2023-09-06T11:01:18.739Z","100","3682","3694"
"72.167.55.195","elite","AS26496","US","GoDaddy.com, LLC","139","GoDaddy.com, LLC","28426","socks4","5096","1","2023-09-06T11:01:18.746Z","100","3664","3664"
"154.73.85.1","elite","AS327776","BW","STATURE (PTY) LTD","186","Ncbw","57932","socks4","4810","1","2023-09-06T11:01:18.741Z","99","3759","3805"
"37.233.102.111","elite","AS198717","PL","Techstorage sp. z o.o.","30","Techstorage sp. z o.o.","3128","socks4","5195","1","2023-09-06T11:01:18.842Z","100","3712","3725"
"159.89.173.152","elite","AS14061","IN","DigitalOcean, LLC","129","DigitalOcean, LLC","49467","socks5","4599","81","2023-09-06T11:01:18.744Z","100","3704","3707"
"203.32.121.157","elite","AS209242","VG","Cloudflare London, LLC","94","Anaga Consulting Limited","80","socks4","713","1","2023-09-06T11:01:16.874Z","100","3748","3749"
"141.98.235.233","elite","AS52000","US","MIRholding B.V.","86","PE Viktor Tyurin","5555","socks4","4504","1","2023-09-06T11:01:16.892Z","88","3302","3760"
"104.25.58.39","elite","AS13335","CA","Cloudflare, Inc.","80","Cloudflare, Inc","80","socks4","1407","1","2023-09-06T11:01:16.783Z","100","3627","3628"
"51.158.111.242","elite","AS12876","FR","SCALEWAY","2","ONLINE","8811","socks4","4803","1","2023-09-06T11:01:16.891Z","49","1845","3786"
"95.107.183.18","elite","AS47394","AL","TRING-CITIES","92","N/A","5678","socks4","322","1","2023-09-06T11:01:12.436Z","98","3705","3778"
"209.97.176.112","elite","AS14061","GB","DigitalOcean, LLC","16","DigitalOcean, LLC","11793","socks5","4301","1","2023-09-06T11:01:12.336Z","100","3720","3723"
"34.117.70.177","elite","AS396982","US","Google LLC","2","Google Cloud","80","socks4","4689","1","2023-09-06T11:01:12.338Z","100","3654","3654"
"103.212.93.241","elite","AS138312","IN","Best Telnet Services Private Limited","197","Best telnet services private limited","45639","socks4","4188","1","2023-09-06T11:01:12.342Z","99","3744","3773"
"103.94.8.53","elite","AS45722","ID","INTERSATNET","217","N/A","5678","socks4","5094","1","2023-09-06T11:01:12.245Z","96","3588","3748"
"116.58.232.105","elite","AS131090","TH","CAT-BB","193","N/A","4145","socks4","1604","1","2023-09-06T11:01:06.688Z","68","2429","3597"
"124.77.92.109","elite","AS4812","CN","China Telecom","193","N/A","4145","socks4","5010","1","2023-09-06T11:01:06.776Z","14","521","3757"
"110.87.13.5","elite","AS4134","CN","Chinanet","291","Chinanet FJ","23456","socks5","1808","1","2023-09-06T11:01:06.689Z","63","2379","3806"
"47.242.34.249","elite","AS45102","HK","Alibaba.com LLC","244","Hong Kong","33888","socks5","4713","1","2023-09-06T11:01:06.686Z","96","3530","3664"
"143.255.249.74","elite","AS61468","EC","CEDIA","177","Universidad Tecnologica Israel","7497","socks5","5085","1","2023-09-06T11:01:06.777Z","96","3576","3743"
"27.123.1.1","elite","AS45706","ID","PT Tele Globe Global","266","N/A","4153","socks4","4802","1","2023-09-06T11:01:06.688Z","99","3748","3783"
"1.0.0.187","elite","AS13335","AU","Cloudflare, Inc","2","APNIC and Cloudflare DNS Resolver project","80","socks4","4499","1","2023-09-06T11:01:06.689Z","100","3727","3727"
"173.249.15.6","elite","AS51167","DE","Contabo GmbH","92","Contabo GmbH","63982","socks5","1310","1","2023-09-06T11:01:05.847Z","99","3728","3752"
"181.188.187.139","elite","AS27882","BO","Telefónica Celular de Bolivia S.A.","201","Telefónica Celular de Bolivia S.A","5678","socks4","4103","1","2023-09-06T11:01:05.742Z","95","3567","3736"
"47.242.149.229","elite","AS45102","HK","Alibaba.com LLC","239","Hong Kong","443","socks5","4810","2","2023-09-06T11:01:05.749Z","82","3027","3694"
"50.201.133.122","elite","AS7922","US","Comcast Cable Communications, LLC","105","Comcast Cable Communications, LLC","3355","socks4","4907","1","2023-09-06T11:01:05.739Z","100","3813","3816"
"188.138.139.216","elite","AS31252","MD","SC STARNET SRL","48","SC Starnet SRL","4145","socks4","4602","1","2023-09-06T11:00:59.257Z","100","3815","3824"
"118.67.216.94","elite","AS58923","BD","InterCloud Limited","183","InterCloud ltd","4145","socks4","4400","1","2023-09-06T11:00:59.333Z","96","3607","3743"
"139.255.19.250","elite","AS9905","ID","PT. LINKNET","192","N/A","5678","socks4","4902","1","2023-09-06T11:00:59.259Z","98","3691","3751"
"45.7.177.180","elite","AS266626","BR","Litoral Telecom","204","Litoral Telecom","39867","socks4","4997","1","2023-09-06T11:00:59.338Z","98","3616","3692"
"220.130.230.244","elite","AS3462","TW","Chunghwa Telecom Co., Ltd.","289","Chunghwa Telecom Co. Ltd.","1080","socks4","4309","1","2023-09-06T11:00:56.599Z","92","3399","3677"
"177.93.76.26","elite","AS263163","BR","JR LINK PROVEDOR DE INTERNET VIA RARIO LTDA","175","JR LINK PROVEDOR DE INTERNET VIA RARIO LTDA","4153","socks4","1714","1","2023-09-06T11:00:56.597Z","99","3779","3814"
"91.216.254.14","elite","AS212918","ES","Clicktel SL","81","Clicktel SL","55555","socks4","4798","1","2023-09-06T11:00:56.598Z","94","3527","3743"
"103.248.30.2","elite","AS133720","IN","websurf","117","N/A","5678","socks4","187","81","2023-09-06T11:00:56.595Z","99","3660","3696"
"147.182.203.142","elite","AS14061","US","DigitalOcean, LLC","197","DigitalOcean, LLC","12345","socks5","4004","1","2023-09-06T11:00:52.833Z","97","3613","3726"
"139.162.156.92","elite","AS63949","DE","Akamai Technologies, Inc.","83","Linode, LLC","7497","socks5","498","1","2023-09-06T11:00:52.745Z","97","3594","3700"
"14.207.201.149","elite","AS45629","TH","Triple T Broadband Public Company Limited","188","Triple T Broadband Public Company Limited","8080","socks4","4701","1","2023-09-06T11:00:52.750Z","99","3708","3745"
"46.227.37.17","elite","AS51155","PL","Telemedian - TB Telecom","38","Telemedian","1088","socks4","4899","1","2023-09-06T11:00:52.849Z","100","3730","3743"
"203.189.89.106","elite","AS38765","ID","Departemen Energi dan Sumber Daya Mineral","212","N/A","80","socks4","4996","2","2023-09-06T11:00:52.740Z","94","3473","3688"
"115.69.214.51","elite","AS45276","BD","NReach Net (Pvt.) Ltd","183","NReach Net (Pvt.) Ltd","5678","socks4","4607","1","2023-09-06T11:00:52.835Z","99","3662","3700"
"103.70.159.154","elite","AS133720","IN","speednet","109","N/A","5678","socks4","4293","1","2023-09-06T11:00:52.746Z","99","3730","3766"
"178.212.53.3","elite","AS197025","PL","Lubuskie Sieci Swiatlowodowe Sp. z o. o.","27","Lubuskie Sieci Swiatlowodowe Sp. z o. o","1080","socks4","3993","1","2023-09-06T11:00:52.848Z","99","3713","3754"
"217.115.115.247","elite","AS30900","IE","Sternforth Ltd. trading as WebWorld","24","Webworld","56792","socks5","4301","1","2023-09-06T11:00:46.738Z","94","3558","3775"
"82.117.204.174","elite","AS31042","RS","Serbia BroadBand","30","N/A","5678","socks4","4817","1","2023-09-06T11:00:46.482Z","99","3732","3752"
"148.251.3.169","elite","AS24940","DE","Hetzner Online GmbH","22","Hetzner","30046","socks5","4113","1","2023-09-06T11:00:46.634Z","89","3358","3754"
"172.67.127.188","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4404","1","2023-09-06T11:00:46.547Z","100","3739","3740"
"159.69.106.105","elite","AS24940","DE","Hetzner Online GmbH","15","Hetzner","16787","socks5","4601","1","2023-09-06T11:00:46.481Z","100","3692","3704"
"139.170.229.78","elite","AS4837","CN","China Unicom Qinghai Province Network","291","N/A","7080","socks5","4714","1","2023-09-06T11:00:40.248Z","84","3124","3711"
"103.47.93.217","elite","AS134058","IN","Broban Internet Services Pvt.ltd","197","Broban  PVT Ltd.","1080","socks4","4699","1","2023-09-06T11:00:40.245Z","99","3712","3739"
"51.83.34.150","elite","AS16276","FR","OVH SAS","8","OVH","34214","socks5","500","1","2023-09-06T11:00:40.349Z","100","3672","3678"
"138.68.132.158","elite","AS14061","GB","DigitalOcean, LLC","100","DigitalOcean, LLC","8118","socks5","4799","2","2023-09-06T11:00:40.244Z","100","3651","3651"
"178.62.202.227","elite","AS14061","NL","DigitalOcean, LLC","11","Digital Ocean","7497","socks5","4405","1","2023-09-06T11:00:40.344Z","100","3782","3783"
"202.150.164.146","elite","AS45725","ID","PT. KINGS NETWORK INDONESIA","199","N/A","5678","socks4","5100","1","2023-09-06T11:00:40.345Z","97","3552","3672"
"202.159.35.201","elite","AS9340","ID","PT IndoInternet","199","N/A","443","socks4","5004","1","2023-09-06T11:00:40.240Z","100","3725","3732"
"186.190.168.62","elite","AS27953","AR","Nodosud S.A","227","Nodosud S.A","4145","socks4","4594","1","2023-09-06T11:00:36.489Z","99","3704","3736"
"182.53.129.81","elite","AS23969","TH","TOT Public Company Limited","189","TOT Public Company Limited","5678","socks4","5000","1","2023-09-06T11:00:36.489Z","44","1601","3633"
"202.144.134.150","elite","AS18024","BT","Bhutan Telecom Ltd","195","Tyangtsedz","5678","socks4","4404","1","2023-09-06T11:00:36.490Z","85","3245","3801"
"124.222.119.189","elite","AS45090","CN","China Internet Network Information Center","207","Tencent cloud computing (Beijing) Co., Ltd.","2080","socks5","4319","1","2023-09-06T11:00:36.488Z","56","2079","3709"
"47.112.158.63","elite","AS37963","CN","Addresses CNNIC","210","Aliyun Computing Co., LTD","6111","socks5","3202","1","2023-09-06T11:00:34.034Z","79","2926","3699"
"102.66.237.60","elite","AS328471","ZA","HERO TELECOMS (PTY) LTD","183","Herotel","5678","socks4","4405","1","2023-09-06T11:00:34.043Z","62","2335","3777"
"203.32.121.161","elite","AS209242","VG","Cloudflare London, LLC","11","Anaga Consulting Limited","80","socks5","4896","1","2023-09-06T11:00:34.039Z","100","3685","3685"
"67.168.245.6","elite","AS33490","US","Comcast Cable Communications, LLC","177","Comcast Cable Communications, IP Services","48331","socks4","220","1","2023-09-06T11:00:34.037Z","96","3548","3708"
"110.78.146.228","elite","AS131090","TH","CAT-BB","191","N/A","4145","socks4","5095","1","2023-09-06T11:00:34.035Z","91","3370","3687"
"125.26.22.7","elite","AS23969","TH","TOT Public Company Limited","161","TOT Public Company Limited","5678","socks4","311","1","2023-09-06T11:00:34.042Z","84","3174","3758"
"117.54.201.91","elite","AS9340","ID","PT IndoInternet","172","N/A","5678","socks4","309","1","2023-09-06T11:00:33.950Z","76","2851","3765"
"123.25.116.228","elite","AS45899","VN","VietNam Post and Telecom Corporation","219","Vietnam Posts and Telecommunications Group","1080","socks4","4300","1","2023-09-06T11:00:27.641Z","90","3401","3793"
"38.127.173.41","elite","AS174","US","Cogent Communications","86","Torlandia Trading SRL","11537","socks5","4586","82","2023-09-06T11:00:27.650Z","100","3687","3694"
"104.16.108.234","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc","80","socks4","4894","1","2023-09-06T11:00:27.637Z","100","3740","3740"
"185.238.228.67","elite","AS209242","GB","Cloudflare London, LLC","81","Invermae Solutions SL","80","socks4","5090","1","2023-09-06T11:00:27.640Z","100","3803","3803"
"190.104.148.250","elite","AS27895","PY","Núcleo S.A.","300","Núcleo S.A","8080","socks4","4486","1","2023-09-06T11:00:27.647Z","99","3707","3747"
"45.226.2.1","elite","AS266987","BR","Web - Link Telecomunicações e Engenharia","286","Web - Link Telecomunicações e Engenharia","4153","socks4","4700","86","2023-09-06T11:00:27.646Z","100","3741","3752"
"14.207.206.27","elite","AS45629","TH","Triple T Broadband Public Company Limited","191","Triple T Broadband Public Company Limited","5678","socks4","4808","84","2023-09-06T11:00:25.581Z","93","3461","3716"
"116.206.151.198","elite","AS132445","IN","Wire And Wireless Solutions","193","Prakash Kumar Khetan T/A WIRE AND WIRELESS SOLUTIONS","4153","socks4","5004","1","2023-09-06T11:00:25.579Z","98","3685","3750"
"101.51.104.21","elite","AS23969","TH","TOT Public Company Limited","187","TOT Public Company Limited","4145","socks4","4390","1","2023-09-06T11:00:25.581Z","55","2059","3718"
"178.18.248.104","elite","AS51167","DE","Contabo GmbH","14","Contabo GmbH","49153","socks4","3890","1","2023-09-06T11:00:25.580Z","100","3779","3786"
"103.101.228.254","elite","AS17451","ID","Biznet Networks","192","PT Biznet Multi Media","5678","socks4","4003","1","2023-09-06T11:00:25.581Z","81","2993","3717"
"43.153.177.61","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","309","Tencent Cloud Computing","443","socks5","4907","1","2023-09-06T11:00:21.538Z","92","3488","3778"
"43.153.90.161","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","152","Tencent Cloud Computing","443","socks4","5093","1","2023-09-06T11:00:15.381Z","80","2979","3713"
